"시도별(1)","규모별(1)","시점",공장수 (개사)
"세종특별자치시","대기업","2012.2/2",
"세종특별자치시","대기업","2013.1/2",0
"세종특별자치시","대기업","2013.2/2",2
"세종특별자치시","대기업","2014.1/2",0
"세종특별자치시","대기업","2014.2/2",1
"세종특별자치시","대기업","2015.1/2",2
"세종특별자치시","대기업","2015.2/2",-1
"세종특별자치시","대기업","2016.1/2",-1
"세종특별자치시","대기업","2016.2/2",-1
"세종특별자치시","대기업","2017.1/2",1
"세종특별자치시","중기업","2012.2/2",
"세종특별자치시","중기업","2013.1/2",8
"세종특별자치시","중기업","2013.2/2",0
"세종특별자치시","중기업","2014.1/2",-2
"세종특별자치시","중기업","2014.2/2",0
"세종특별자치시","중기업","2015.1/2",0
"세종특별자치시","중기업","2015.2/2",-1
"세종특별자치시","중기업","2016.1/2",4
"세종특별자치시","중기업","2016.2/2",2
"세종특별자치시","중기업","2017.1/2",7
"세종특별자치시","소기업","2012.2/2",
"세종특별자치시","소기업","2013.1/2",24
"세종특별자치시","소기업","2013.2/2",17
"세종특별자치시","소기업","2014.1/2",15
"세종특별자치시","소기업","2014.2/2",15
"세종특별자치시","소기업","2015.1/2",8
"세종특별자치시","소기업","2015.2/2",13
"세종특별자치시","소기업","2016.1/2",7
"세종특별자치시","소기업","2016.2/2",-3
"세종특별자치시","소기업","2017.1/2",23
"경기도","대기업","2006.1/2",
"경기도","대기업","2006.2/2",2
"경기도","대기업","2007.1/2",-13
"경기도","대기업","2007.2/2",-11
"경기도","대기업","2008.2/2",
"경기도","대기업","2009.1/2",10
"경기도","대기업","2009.2/2",20
"경기도","대기업","2010.1/2",12
"경기도","대기업","2010.2/2",-1
"경기도","대기업","2011.1/2",0
"경기도","대기업","2011.2/2",-6
"경기도","대기업","2012.1/2",-26
"경기도","대기업","2012.2/2",-4
"경기도","대기업","2013.1/2",-13
"경기도","대기업","2013.2/2",-1
"경기도","대기업","2014.1/2",-2
"경기도","대기업","2014.2/2",-3
"경기도","대기업","2015.1/2",-4
"경기도","대기업","2015.2/2",14
"경기도","대기업","2016.1/2",-1
"경기도","대기업","2016.2/2",1
"경기도","대기업","2017.1/2",-3
"경기도","중기업","2006.1/2",
"경기도","중기업","2006.2/2",32
"경기도","중기업","2007.1/2",117
"경기도","중기업","2007.2/2",49
"경기도","중기업","2008.2/2",
"경기도","중기업","2009.1/2",-18
"경기도","중기업","2009.2/2",-18
"경기도","중기업","2010.1/2",20
"경기도","중기업","2010.2/2",21
"경기도","중기업","2011.1/2",0
"경기도","중기업","2011.2/2",27
"경기도","중기업","2012.1/2",-15
"경기도","중기업","2012.2/2",-3
"경기도","중기업","2013.1/2",10
"경기도","중기업","2013.2/2",53
"경기도","중기업","2014.1/2",34
"경기도","중기업","2014.2/2",83
"경기도","중기업","2015.1/2",62
"경기도","중기업","2015.2/2",72
"경기도","중기업","2016.1/2",34
"경기도","중기업","2016.2/2",11
"경기도","중기업","2017.1/2",47
"경기도","소기업","2006.1/2",
"경기도","소기업","2006.2/2",1245
"경기도","소기업","2007.1/2",2124
"경기도","소기업","2007.2/2",1886
"경기도","소기업","2008.2/2",
"경기도","소기업","2009.1/2",1187
"경기도","소기업","2009.2/2",1484
"경기도","소기업","2010.1/2",1211
"경기도","소기업","2010.2/2",1421
"경기도","소기업","2011.1/2",0
"경기도","소기업","2011.2/2",1133
"경기도","소기업","2012.1/2",874
"경기도","소기업","2012.2/2",673
"경기도","소기업","2013.1/2",997
"경기도","소기업","2013.2/2",1741
"경기도","소기업","2014.1/2",995
"경기도","소기업","2014.2/2",1401
"경기도","소기업","2015.1/2",1166
"경기도","소기업","2015.2/2",2007
"경기도","소기업","2016.1/2",537
"경기도","소기업","2016.2/2",441
"경기도","소기업","2017.1/2",1001
"강원도","대기업","2006.1/2",
"강원도","대기업","2006.2/2",1
"강원도","대기업","2007.1/2",0
"강원도","대기업","2007.2/2",1
"강원도","대기업","2008.2/2",
"강원도","대기업","2009.1/2",0
"강원도","대기업","2009.2/2",0
"강원도","대기업","2010.1/2",0
"강원도","대기업","2010.2/2",-2
"강원도","대기업","2011.1/2",0
"강원도","대기업","2011.2/2",-1
"강원도","대기업","2012.1/2",0
"강원도","대기업","2012.2/2",0
"강원도","대기업","2013.1/2",-1
"강원도","대기업","2013.2/2",0
"강원도","대기업","2014.1/2",1
"강원도","대기업","2014.2/2",0
"강원도","대기업","2015.1/2",0
"강원도","대기업","2015.2/2",1
