city,year,month,pop_sum,pop_0_9,pop_10_19,pop_20_29,pop_30_39,pop_40_49,pop_50_59,pop_60_69,pop_70_79,pop_80_89,pop_90_99,pop_100_
경상북도,2009,01,2672528,253931,338108,355200,400492,443783,354608,263486,192405,62978,7371,166
경상남도,2009,01,3224676,345269,453667,431066,532780,565619,399491,258884,177450,55310,5011,129
제주특별자치도,2009,01,560649,66180,82063,73031,91653,95005,63699,46953,30358,9724,1915,68
전국,2009,02,49577741,5060988,6798303,7185550,8467312,8701629,6195684,3977590,2363569,738977,85683,2456
서울특별시,2009,02,10221170,925624,1268809,1691889,1895440,1728987,1352646,833810,388064,120540,14924,437
부산광역시,2009,02,3562040,293591,462465,543076,549321,625213,544200,329443,163428,46804,4376,123
대구광역시,2009,02,2494446,242214,366484,361354,407357,457924,323592,194183,107623,30544,3080,91
인천광역시,2009,02,2693408,279935,393390,400567,468095,512304,324425,179367,99355,32181,3685,104
광주광역시,2009,02,1424862,164684,228551,214919,243931,242855,157040,99481,53881,17296,2158,66
대전광역시,2009,02,1481851,164040,221888,225228,259512,262192,176452,98101,54799,17482,2100,57
울산광역시,2009,02,1112502,122914,176192,159668,192321,218551,137018,63605,31079,10049,1088,17
경기도,2009,02,11314204,1320806,1632266,1581065,2115228,2100403,1247016,740231,428580,132638,15535,436
강원도,2009,02,1507016,146806,197508,195203,224503,258203,200693,150520,97092,32185,4176,127
충청북도,2009,02,1520084,157111,211084,209698,238190,258904,188153,131137,93236,28928,3555,88
충청남도,2009,02,2019521,211602,261335,271266,316631,327291,246252,186716,147185,45688,5409,146
전라북도,2009,02,1854545,185322,256624,243695,272657,298889,234485,182410,131931,43297,5060,175
전라남도,2009,02,1916665,183855,250777,231905,260642,303912,243518,218785,164639,52315,6104,213
경상북도,2009,02,2669866,252422,336546,353715,399530,444076,355439,263527,193623,63338,7477,173
경상남도,2009,02,3225016,344094,452434,429510,532494,566775,400806,259297,178541,55900,5031,134
제주특별자치도,2009,02,560545,65968,81950,72792,91460,95150,63949,46977,30513,9792,1925,69
전국,2009,03,49596381,5043196,6810433,7164542,8440872,8708401,6231798,3981629,2380615,746094,86318,2483
서울특별시,2009,03,10225908,922106,1270050,1689606,1891000,1729414,1359302,836026,391321,121606,15034,443
부산광역시,2009,03,3560925,292429,462437,540492,547762,624378,546402,330404,164814,47271,4413,123
대구광역시,2009,03,2494030,241143,366508,359975,405980,457947,325153,194671,108655,30797,3110,91
인천광역시,2009,03,2694708,278847,393780,399740,466488,512701,327019,179803,99925,32575,3724,106
광주광역시,2009,03,1425103,164045,228908,214132,243576,242949,157908,99562,54277,17524,2156,66
대전광역시,2009,03,1482240,163538,222308,224328,258429,262620,177613,98367,55193,17667,2121,56
울산광역시,2009,03,1112790,122402,176225,159196,191731,218716,138090,63881,31332,10104,1096,17
경기도,2009,03,11320860,1316693,1637511,1577696,2106368,2103438,1256347,741352,431359,134013,15643,440
강원도,2009,03,1508858,146348,198891,194265,223960,258279,202124,150387,97796,32448,4234,126
충청북도,2009,03,1520844,156614,211476,209035,237124,259494,189462,130847,93869,29256,3575,92
충청남도,2009,03,2020452,211161,261862,270076,315974,327782,247388,186459,148110,46062,5428,150
전라북도,2009,03,1854341,184678,257167,242268,271884,299097,235804,181991,132596,43587,5093,176
전라남도,2009,03,1916797,183043,251357,230620,260081,304131,244472,217953,165759,52987,6179,215
경상북도,2009,03,2670210,251360,336820,352369,398117,444344,357033,263437,195235,63780,7537,178
경상남도,2009,03,3227394,343023,452938,428266,531013,567820,403388,259526,179686,56543,5056,135
제주특별자치도,2009,03,560921,65766,82195,72478,91385,95291,64293,46963,30688,9874,1919,69
전국,2009,04,49593665,5028342,6816099,7149918,8415551,8708905,6258668,3982617,2392761,751636,86691,2477
서울특별시,2009,04,10218707,918862,1269584,1685654,1885667,1727472,1362837,836988,393657,122383,15157,446
부산광역시,2009,04,3555949,291154,461916,538607,545589,622620,547308,330892,165659,47643,4435,126
대구광역시,2009,04,2491901,240329,366469,358899,404282,457066,326272,194949,109331,31089,3125,90
인천광역시,2009,04,2693722,277937,393826,398990,464705,512469,328666,180013,100442,32810,3758,106
광주광역시,2009,04,1425334,163607,229279,213506,243231,242886,158666,99653,54614,17656,2171,65
대전광역시,2009,04,1481512,162924,222460,223887,257218,262628,178351,98533,55505,17814,2135,57
울산광역시,2009,04,1112664,121963,176264,159004,191091,218574,138951,64045,31503,10147,1105,17
경기도,2009,04,11335127,1313764,1640849,1577215,2101985,2108980,1265315,742164,433534,135160,15716,445
강원도,2009,04,1508734,146103,199036,193670,223057,258354,203143,150099,98272,32625,4251,124
충청북도,2009,04,1521092,156276,211790,208345,236366,259714,190409,130660,94317,29536,3587,92
충청남도,2009,04,2020985,210701,262442,269478,314976,328045,248436,186167,148776,46400,5417,147
전라북도,2009,04,1853801,183996,257464,241689,271157,298932,236752,181656,133053,43826,5102,174
전라남도,2009,04,1915819,182282,251737,229770,259283,303918,245438,217062,166560,53373,6185,211
경상북도,2009,04,2669512,250490,337278,351358,396637,443868,358549,263053,196349,64167,7587,176
경상남도,2009,04,3227973,342309,453353,427646,529333,567946,405009,259797,180343,57058,5045,134
제주특별자치도,2009,04,560833,65645,82352,72200,90974,95433,64566,46886,30846,9949,1915,67
전국,2009,05,49618780,5014413,6819004,7140706,8398136,8719225,6288536,3989629,2403206,756273,87175,2477
서울특별시,2009,05,10222778,916509,1268988,1683368,1883586,1728807,1367595,839194,395885,123157,15246,443
부산광역시,2009,05,3554770,290202,461368,536931,544356,621998,549102,331777,166469,47998,4436,133
대구광역시,2009,05,2491566,239401,366194,357907,403357,457075,327897,195409,109858,31236,3144,88
인천광역시,2009,05,2695783,277191,393815,398848,463711,513159,330731,180482,100950,33005,3784,107
광주광역시,2009,05,1426498,163112,229625,213204,243022,242951,159522,100111,54917,17786,2181,67
대전광역시,2009,05,1481825,162223,222570,223476,256423,263223,179284,98744,55777,17898,2148,59
울산광역시,2009,05,1113192,121523,176324,158828,190480,218818,139841,64376,31661,10204,1120,17
경기도,2009,05,11347524,1310652,1642815,1576726,2097325,2114308,1273815,743847,435735,135999,15862,440
강원도,2009,05,1509035,145537,199122,193226,222436,258601,204211,150023,98716,32766,4272,125
충청북도,2009,05,1521954,155947,211910,208036,235627,260417,191392,130541,94698,29708,3584,94
