시도별,경제활동별,항목,2007 년,2008 년,2009 년,2010 년,2011 년,2012 년,2013 년,2014 년,2015 년,2016 년,2017 년,2018 년,2019 년,2020 년,2021 년,2022 년
충청북도,"　공공 행정, 국방 및 사회보장 행정",명목,2519100,2775598,2918976,3044311,3350018,3478289,3754206,4000684,4265005,4483667,4842038,5079136,5397843,5833187,6302059,6739938
충청북도,"　공공 행정, 국방 및 사회보장 행정",실질,3165763,3256952,3363402,3429043,3647333,3680114,3890042,4063971,4265005,4381937,4565615,4634075,4840456,5137502,5393800,5529919
충청북도,"　공공 행정, 국방 및 사회보장 행정",실질기여도,0.41,0.22,0.27,0.16,0.48,0.07,0.44,0.35,0.4,0.21,0.31,0.11,0.32,0.48,0.42,0.21
충청북도,　교육 서비스업,명목,1924133,2151286,2264694,2359819,2494342,2598179,2712716,2879475,2937178,3004077,3184559,3353708,3492548,3491837,3812809,3789533
충청북도,　교육 서비스업,실질,2385279,2426766,2523033,2591490,2703725,2793925,2869655,2947296,2937178,2952207,3068130,3182115,3231082,3204415,3455689,3422194
충청북도,　교육 서비스업,실질기여도,0.05,0.1,0.25,0.17,0.25,0.19,0.15,0.15,-0.02,0.03,0.2,0.18,0.07,-0.04,0.39,-0.05
충청북도,　보건업 및 사회복지 서비스업,명목,968570,1038366,1149045,1236320,1320973,1448902,1571134,1672849,1782549,1921028,2059537,2222174,2430206,2475303,2627205,2841194
충청북도,　보건업 및 사회복지 서비스업,실질,1111521,1136316,1196992,1269546,1366284,1491050,1621288,1710414,1782549,1893933,1979363,2121476,2307901,2300649,2423146,2624392
충청북도,　보건업 및 사회복지 서비스업,실질기여도,0.22,0.07,0.16,0.2,0.23,0.28,0.28,0.18,0.14,0.2,0.15,0.23,0.28,-0.01,0.19,0.29
충청북도,　문화 및 기타서비스업,명목,895574,1003313,1086476,1130931,1194094,1286501,1394391,1485651,1536093,1620844,1684793,1814222,1850167,1854210,1948407,2140772
충청북도,　문화 및 기타서비스업,실질,1228056,1303575,1377142,1379321,1404103,1446768,1521363,1563392,1536093,1545746,1554391,1601396,1582890,1527032,1598588,1703005
충청북도,　문화 및 기타서비스업,실질기여도,0.11,0.17,0.17,0,0.05,0.08,0.15,0.08,-0.05,0.02,0.02,0.08,-0.03,-0.09,0.12,0.17
충청남도,지역내총생산(시장가격),명목,60502127,65704608,73497025,85104574,92244734,94248204,93938560,96780692,101299131,106869144,115557697,115534184,113488325,115531056,125416447,128488050
충청남도,지역내총생산(시장가격),실질,76413497,80523469,82604137,92056862,98515870,99219568,97403497,100199403,101299131,104503363,110165655,110873163,112310782,112762058,118487227,121401399
충청남도,지역내총생산(시장가격),실질기여도,5.78,5.38,2.58,11.44,7.02,0.71,-1.83,2.87,1.1,3.16,5.42,0.64,1.3,0.4,5.08,2.46
충청남도,순생산물세,명목,6697826,7137729,7041286,8433860,8611629,9467413,9261592,9389691,9863607,10570123,11227269,11324214,11067277,10958048,12028436,12092827
